TIME_OF_RECORDING,TILT_ANGLE,INITIAL_VELOCITY,FINAL_VELOCITY,ACCLERATION,TILT_THRESHOLD,SPEED_LIMIT,sudden_acceleration,SUDDEN_STOP,EXCESS_BIKE_TILT,RESULT,RESULT2
2017-11-18 09:00:28.687105,0.08,102,102,0,0.0007842368,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,3.08,102,102,0,0.0301931183,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,6.92,102,102,0,0.0678364866,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,34.92,102,102,0,0.3423193805,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,1.08,102,102,0,0.0105871973,1,0,0,0,1,0.25
2017-11-18 09:00:28.687105,2.08,102,102,0,0.0203901578,1,0,0,0,1,0.25
