TIME_OF_RECORDING,TILT_ANGLE,INITIAL_VELOCITY,FINAL_VELOCITY,ACCLERATION,TILT_THRESHOLD,SPEED_LIMIT,sudden_acceleration,SUDDEN_STOP,EXCESS_BIKE_TILT,RESULT,RESULT2
2017-11-18 07:27:11.552675,2.08,46,73,0,0.028489248,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,51,102,0,0.0203901578,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,60,102,0,0.0203901578,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,60,102,0,0.0203901578,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,60,99,0.75,0.0212223243,0,0,0,0,0,0
2017-11-18 07:27:11.552675,1.08,60,92,-3,0.0112488282,0,0,0,0,0,0
2017-11-18 07:27:11.552675,7.92,60,83,-0.75,0.0942744911,0,0,0,0,0,0
2017-11-18 07:27:11.552675,14.92,65,79,-0.75,0.1864766904,0,0,0,0,0,0
2017-11-18 07:27:11.552675,17.92,65,77,-0.75,0.2297141392,0,0,0,0,0,0
2017-11-18 07:27:11.552675,19.92,67,82,4.5,0.2620707802,0,0,0,0,0,0
2017-11-18 07:27:11.552675,22.92,68,85,-0.75,0.2664806418,0,0,0,0,0,0
2017-11-18 07:27:11.552675,31.92,69,84,0,0.3799547673,0,0,0,0,0,0
2017-11-18 07:27:11.552675,28.92,62,84,0,0.3442447328,0,0,0,0,0,0
2017-11-18 07:27:11.552675,1.08,68,84,0,0.0128556124,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,71,88,2.25,0.0244677097,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,72,76,-3.75,0.0256758425,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,69,72,-2.25,0.027729636,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,69,68,-0.75,0.0301405593,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,70,69,0,0.0288848771,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,70,69,-3,0.027729636,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,65,65,0,0.0319950777,0,0,0,0,0,0
2017-11-18 07:27:11.552675,11.08,65,65,0,0.1704353176,0,0,0,0,0,0
2017-11-18 07:27:11.552675,14.08,65,65,0,0.2165820643,0,0,0,0,0,0
2017-11-18 07:27:11.552675,15.08,65,65,0,0.2319643132,0,0,0,0,0,0
2017-11-18 07:27:11.552675,1.08,65,65,0,0.0166128288,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,65,65,0,0.0319950777,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,68,71,2.25,0.0305837377,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,67,65,-1.5,0.0310401433,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,63,63,0,0.0330106332,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,63,63,0,0.0330106332,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,63,63,0,0.0330106332,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,63,63,0,0.0330106332,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,64,64,0,0.0324949227,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,64,65,0.75,0.0324949227,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,65,70,3.75,0.0319950777,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,85,88,2.25,0.0244677097,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,88,88,0,0.023633678,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,88,88,0,0.023633678,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,88,87,-0.75,0.023633678,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,82,79,-2.25,0.0253627606,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,74,73,-0.75,0.0281043102,1,0,0,0,1,0.25
2017-11-18 07:27:11.552675,2.08,68,66,-1.5,0.0305837377,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,62,60,-1.5,0.0335429769,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,59,59,0,0.035248263,0,0,0,0,0,0
2017-11-18 07:27:11.552675,2.08,57,54,-2.25,0.0364848272,0,0,0,0,0,0
